,Station,Year,month,Element,Max,Min,Mean,Days
0,USC00110338,1893,1,TMAX,4.4,-20.0,-7.8,31
1,USC00110338,1893,2,TMAX,5.6,-17.2,-0.9,27
2,USC00110338,1893,3,TMAX,20.6,-7.2,5.6,30
3,USC00110338,1893,4,TMAX,28.9,3.3,13.5,30
4,USC00110338,1893,5,TMAX,30.6,7.2,19.2,31
5,USC00110338,1893,6,TMAX,36.1,21.1,28.6,30
6,USC00110338,1893,7,TMAX,36.7,26.1,30.7,31
7,USC00110338,1893,8,TMAX,33.3,22.2,28.4,29
8,USC00110338,1893,9,TMAX,35.0,12.8,25.5,30
9,USC00110338,1893,10,TMAX,28.3,3.9,17.6,31
10,USC00110338,1895,8,TMAX,36.7,22.8,31.5,31
11,USC00110338,1895,12,TMAX,13.3,-6.7,3.4,31
12,USC00110338,1896,1,TMAX,16.7,-14.4,3.1,31
13,USC00110338,1896,2,TMAX,18.9,-10.0,4.8,27
14,USC00110338,1896,3,TMAX,21.7,-5.6,6.7,30
15,USC00110338,1896,4,TMAX,31.1,5.6,20.6,30
16,USC00110338,1896,5,TMAX,35.6,18.9,28.3,30
17,USC00110338,1896,6,TMAX,35.0,14.4,28.9,30
18,USC00110338,1896,7,TMAX,37.8,18.9,31.2,31
19,USC00110338,1896,8,TMAX,38.9,24.4,30.9,31
20,USC00110338,1896,9,TMAX,32.2,13.3,22.1,30
21,USC00110338,1896,10,TMAX,25.6,7.8,15.8,31
22,USC00110338,1896,11,TMAX,21.1,-8.9,6.8,30
23,USC00110338,1896,12,TMAX,14.4,-5.6,3.5,31
24,USC00110338,1897,1,TMAX,14.4,-20.0,-1.4,31
25,USC00110338,1897,2,TMAX,6.7,-7.8,2.2,28
26,USC00110338,1897,3,TMAX,19.4,-2.2,6.9,31
27,USC00110338,1897,4,TMAX,28.9,2.2,14.9,30
28,USC00110338,1897,5,TMAX,33.3,5.6,24.4,31
29,USC00110338,1897,6,TMAX,41.1,15.6,29.7,30
30,USC00110338,1897,7,TMAX,42.2,24.4,34.4,31
31,USC00110338,1897,8,TMAX,36.1,21.7,27.6,31
32,USC00110338,1897,9,TMAX,37.2,18.9,29.6,30
33,USC00110338,1897,10,TMAX,33.9,13.3,21.7,31
34,USC00110338,1897,11,TMAX,20.0,-6.1,7.9,29
35,USC00110338,1897,12,TMAX,12.2,-11.7,-0.8,31
36,USC00110338,1898,1,TMAX,10.0,-6.7,1.3,30
37,USC00110338,1898,2,TMAX,11.7,-13.3,0.7,28
38,USC00110338,1898,3,TMAX,21.1,0.0,10.7,31
39,USC00110338,1898,4,TMAX,25.6,2.8,14.1,30
40,USC00110338,1898,5,TMAX,27.8,9.4,21.4,31
41,USC00110338,1898,6,TMAX,33.3,20.6,28.1,30
42,USC00110338,1898,7,TMAX,37.2,21.1,30.9,31
43,USC00110338,1898,8,TMAX,34.4,20.0,28.3,31
44,USC00110338,1898,9,TMAX,33.9,17.2,26.1,30
45,USC00110338,1898,10,TMAX,30.6,5.0,14.5,31
46,USC00110338,1898,11,TMAX,20.0,-7.2,6.0,30
47,USC00110338,1898,12,TMAX,8.9,-10.6,-0.3,31
48,USC00110338,1899,1,TMAX,8.9,-15.6,-0.2,31
49,USC00110338,1899,2,TMAX,12.2,-21.1,-2.6,28
50,USC00110338,1899,3,TMAX,17.2,-6.7,3.1,31
51,USC00110338,1899,4,TMAX,32.8,-1.1,17.8,30
52,USC00110338,1899,5,TMAX,30.0,13.9,22.9,31
53,USC00110338,1899,6,TMAX,34.4,23.3,28.9,30
54,USC00110338,1899,7,TMAX,35.0,23.3,29.8,31
55,USC00110338,1899,8,TMAX,35.6,21.7,31.3,31
56,USC00110338,1899,9,TMAX,38.3,6.1,23.9,30
57,USC00110338,1899,10,TMAX,31.1,9.4,20.2,31
58,USC00110338,1899,11,TMAX,18.3,1.1,11.3,30
59,USC00110338,1899,12,TMAX,11.7,-11.1,1.7,31
60,USC00110338,1900,1,TMAX,13.3,-15.0,2.7,31
61,USC00110338,1900,2,TMAX,15.0,-13.9,-1.1,28
62,USC00110338,1900,3,TMAX,13.3,-9.4,2.7,31
63,USC00110338,1900,4,TMAX,28.9,0.6,16.6,30
64,USC00110338,1900,5,TMAX,32.8,9.4,24.4,31
65,USC00110338,1900,6,TMAX,32.2,20.0,26.4,30
66,USC00110338,1900,7,TMAX,35.0,24.4,30.0,31
67,USC00110338,1900,8,TMAX,37.2,23.3,32.2,31
68,USC00110338,1900,9,TMAX,33.9,16.1,25.9,30
69,USC00110338,1900,10,TMAX,31.1,15.0,22.7,31
70,USC00110338,1900,12,TMAX,7.8,-5.6,0.7,18
71,USC00110338,1901,1,TMAX,11.7,-10.0,0.1,31
72,USC00110338,1901,2,TMAX,2.8,-11.1,-4.0,28
73,USC00110338,1901,3,TMAX,19.4,-7.2,5.6,31
74,USC00110338,1901,4,TMAX,30.6,3.3,15.4,29
75,USC00110338,1901,5,TMAX,32.2,14.4,21.8,31
76,USC00110338,1901,6,TMAX,38.3,16.1,29.9,30
77,USC00110338,1901,7,TMAX,42.8,27.2,34.8,31
78,USC00110338,1901,8,TMAX,35.0,21.1,29.1,31
79,USC00110338,1901,9,TMAX,33.9,13.3,24.9,30
80,USC00110338,1901,10,TMAX,31.1,8.9,19.7,31
81,USC00110338,1901,11,TMAX,19.4,-0.6,8.0,30
82,USC00110338,1901,12,TMAX,13.9,-17.2,-1.1,31
83,USC00110338,1902,1,TMAX,10.6,-15.0,0.4,31
84,USC00110338,1902,2,TMAX,10.0,-12.8,-1.7,28
85,USC00110338,1902,3,TMAX,20.0,-8.9,9.1,31
86,USC00110338,1902,4,TMAX,30.0,2.8,15.9,30
87,USC00110338,1902,5,TMAX,30.6,7.8,23.0,31
88,USC00110338,1902,6,TMAX,32.8,15.0,24.5,30
89,USC00110338,1902,7,TMAX,33.3,21.1,28.6,31
90,USC00110338,1902,8,TMAX,30.6,20.6,25.7,31
91,USC00110338,1902,9,TMAX,27.8,15.0,21.0,30
92,USC00110338,1902,10,TMAX,25.6,7.2,17.5,31
93,USC00110338,1902,11,TMAX,22.2,3.3,12.1,30
94,USC00110338,1902,12,TMAX,10.6,-13.3,-0.4,31
95,USC00110338,1903,1,TMAX,9.4,-15.0,-0.7,31
96,USC00110338,1903,2,TMAX,11.1,-17.2,-0.2,28
97,USC00110338,1903,3,TMAX,24.4,-0.6,10.3,31
98,USC00110338,1903,4,TMAX,26.1,3.9,15.7,30
99,USC00110338,1903,5,TMAX,30.0,12.8,23.1,31
100,USC00110338,1903,6,TMAX,31.7,12.8,24.3,30
101,USC00110338,1903,7,TMAX,34.4,21.1,29.0,31
102,USC00110338,1903,8,TMAX,33.3,17.2,26.0,31
103,USC00110338,1903,9,TMAX,30.0,12.8,23.1,30
104,USC00110338,1903,10,TMAX,28.3,6.7,16.6,31
105,USC00110338,1903,11,TMAX,20.0,-4.4,7.1,30
106,USC00110338,1903,12,TMAX,5.0,-13.9,-2.2,31
107,USC00110338,1904,1,TMAX,3.9,-16.7,-4.6,31
108,USC00110338,1904,2,TMAX,11.7,-13.3,-3.3,29
109,USC00110338,1904,3,TMAX,18.9,-1.1,6.3,31
110,USC00110338,1904,4,TMAX,27.2,3.9,11.9,30
111,USC00110338,1904,5,TMAX,30.0,12.2,21.9,31
112,USC00110338,1904,6,TMAX,32.8,20.0,26.5,30
113,USC00110338,1904,7,TMAX,34.4,20.0,28.5,31
114,USC00110338,1904,8,TMAX,31.1,19.4,25.8,31
115,USC00110338,1904,9,TMAX,30.6,13.3,23.0,30
