,Station,Year,month,Element,Max,Min,Mean,Days
0,USC00110338,1893,1,TMIN,-3.3,-31.1,-19.2,31
1,USC00110338,1893,2,TMIN,0.6,-26.1,-11.7,27
2,USC00110338,1893,3,TMIN,3.3,-13.3,-4.6,31
3,USC00110338,1893,4,TMIN,12.2,-5.6,2.2,30
4,USC00110338,1893,5,TMIN,14.4,-0.6,5.7,31
5,USC00110338,1893,6,TMIN,19.4,6.7,14.3,30
6,USC00110338,1893,7,TMIN,20.6,12.8,16.2,31
7,USC00110338,1893,8,TMIN,19.4,3.9,12.8,30
8,USC00110338,1893,9,TMIN,20.6,-2.8,10.5,30
9,USC00110338,1893,10,TMIN,13.3,-9.4,3.3,31
10,USC00110338,1895,8,TMIN,20.0,7.2,14.3,31
11,USC00110338,1895,12,TMIN,4.4,-21.1,-5.2,31
12,USC00110338,1896,1,TMIN,1.1,-22.2,-6.2,31
13,USC00110338,1896,2,TMIN,2.2,-25.6,-7.7,23
14,USC00110338,1896,3,TMIN,4.4,-16.7,-4.6,30
15,USC00110338,1896,4,TMIN,17.8,-6.7,7.0,30
16,USC00110338,1896,5,TMIN,18.9,4.4,12.8,31
17,USC00110338,1896,6,TMIN,21.1,5.6,14.5,30
18,USC00110338,1896,7,TMIN,24.4,7.8,16.6,31
19,USC00110338,1896,8,TMIN,24.4,5.6,16.7,29
20,USC00110338,1896,9,TMIN,18.9,0.0,10.2,30
21,USC00110338,1896,10,TMIN,13.3,-4.4,2.5,30
22,USC00110338,1896,11,TMIN,13.3,-15.6,-1.1,30
23,USC00110338,1896,12,TMIN,4.4,-16.7,-4.1,31
24,USC00110338,1897,1,TMIN,12.2,-30.0,-9.0,31
25,USC00110338,1897,2,TMIN,0.0,-20.0,-5.3,28
26,USC00110338,1897,3,TMIN,7.8,-11.1,-3.0,31
27,USC00110338,1897,4,TMIN,14.4,-7.8,3.8,30
28,USC00110338,1897,5,TMIN,16.7,-0.6,6.3,31
29,USC00110338,1897,6,TMIN,22.2,4.4,13.1,30
30,USC00110338,1897,7,TMIN,23.9,10.0,17.4,31
31,USC00110338,1897,8,TMIN,20.6,5.6,14.0,31
32,USC00110338,1897,9,TMIN,20.6,2.2,12.6,30
33,USC00110338,1897,10,TMIN,20.6,-1.7,6.9,31
34,USC00110338,1897,11,TMIN,10.6,-14.4,-1.0,30
35,USC00110338,1897,12,TMIN,7.2,-22.8,-9.4,31
36,USC00110338,1898,1,TMIN,4.4,-16.7,-7.2,31
37,USC00110338,1898,2,TMIN,2.8,-23.3,-7.6,28
38,USC00110338,1898,3,TMIN,12.2,-10.0,-0.5,31
39,USC00110338,1898,4,TMIN,10.0,-6.1,2.4,30
40,USC00110338,1898,5,TMIN,17.2,2.2,8.9,31
41,USC00110338,1898,6,TMIN,20.0,7.8,15.1,30
42,USC00110338,1898,7,TMIN,22.2,8.9,16.5,31
43,USC00110338,1898,8,TMIN,22.2,10.0,15.8,31
44,USC00110338,1898,9,TMIN,21.1,5.0,13.9,30
45,USC00110338,1898,10,TMIN,18.3,-5.0,5.9,31
46,USC00110338,1898,11,TMIN,11.1,-18.9,-3.4,30
47,USC00110338,1898,12,TMIN,0.6,-19.4,-9.4,31
48,USC00110338,1899,1,TMIN,2.2,-26.1,-10.1,31
49,USC00110338,1899,2,TMIN,0.6,-30.0,-13.5,28
50,USC00110338,1899,3,TMIN,7.8,-17.8,-5.6,31
51,USC00110338,1899,4,TMIN,15.6,-9.4,4.5,30
52,USC00110338,1899,5,TMIN,18.9,4.4,10.2,31
53,USC00110338,1899,6,TMIN,22.2,7.8,15.6,30
54,USC00110338,1899,7,TMIN,21.1,8.9,16.8,31
55,USC00110338,1899,8,TMIN,20.6,12.2,16.9,31
56,USC00110338,1899,9,TMIN,21.7,-4.4,11.0,30
57,USC00110338,1899,10,TMIN,16.7,-1.7,7.6,31
58,USC00110338,1899,11,TMIN,10.0,-4.4,1.5,30
59,USC00110338,1899,12,TMIN,7.2,-20.0,-7.6,31
60,USC00110338,1900,1,TMIN,1.7,-21.7,-6.7,31
61,USC00110338,1900,2,TMIN,0.0,-23.3,-13.0,28
62,USC00110338,1900,3,TMIN,0.6,-18.3,-5.7,31
63,USC00110338,1900,4,TMIN,13.3,-3.3,3.8,30
64,USC00110338,1900,5,TMIN,17.8,0.0,9.8,31
65,USC00110338,1900,6,TMIN,20.6,6.1,13.5,30
66,USC00110338,1900,7,TMIN,22.2,8.3,15.6,31
67,USC00110338,1900,8,TMIN,22.2,15.6,18.4,31
68,USC00110338,1900,9,TMIN,21.7,2.2,12.7,30
69,USC00110338,1900,10,TMIN,18.9,-0.6,8.9,31
70,USC00110338,1900,12,TMIN,1.7,-15.6,-6.1,19
71,USC00110338,1901,1,TMIN,0.0,-23.3,-9.0,31
72,USC00110338,1901,2,TMIN,-3.9,-25.6,-15.8,28
73,USC00110338,1901,3,TMIN,6.7,-16.1,-3.3,31
74,USC00110338,1901,4,TMIN,10.6,-3.3,2.2,30
75,USC00110338,1901,5,TMIN,13.9,1.7,7.9,31
76,USC00110338,1901,6,TMIN,21.1,2.8,14.5,30
77,USC00110338,1901,7,TMIN,23.3,8.3,18.5,31
78,USC00110338,1901,8,TMIN,20.0,10.0,15.7,31
79,USC00110338,1901,9,TMIN,16.1,-0.6,10.5,30
80,USC00110338,1901,10,TMIN,13.9,-2.8,4.8,31
81,USC00110338,1901,11,TMIN,7.8,-10.6,-4.1,30
82,USC00110338,1901,12,TMIN,1.1,-26.7,-9.0,31
83,USC00110338,1902,1,TMIN,-1.7,-27.2,-10.1,31
84,USC00110338,1902,2,TMIN,1.7,-24.4,-13.8,28
85,USC00110338,1902,3,TMIN,11.7,-16.1,-0.7,31
86,USC00110338,1902,4,TMIN,11.1,-5.6,1.1,30
87,USC00110338,1902,5,TMIN,18.9,2.2,10.4,31
88,USC00110338,1902,6,TMIN,20.6,5.6,13.3,30
89,USC00110338,1902,7,TMIN,26.1,6.7,17.3,31
90,USC00110338,1902,8,TMIN,21.1,7.2,14.4,31
91,USC00110338,1902,9,TMIN,17.8,0.6,9.7,30
92,USC00110338,1902,10,TMIN,14.4,-1.1,6.1,31
93,USC00110338,1902,11,TMIN,16.7,-6.7,3.4,30
94,USC00110338,1902,12,TMIN,1.7,-21.1,-7.8,31
95,USC00110338,1903,1,TMIN,1.7,-22.2,-9.3,31
96,USC00110338,1903,2,TMIN,2.8,-25.6,-9.8,28
97,USC00110338,1903,3,TMIN,13.9,-11.1,-0.2,31
98,USC00110338,1903,4,TMIN,12.8,-7.8,3.2,30
99,USC00110338,1903,5,TMIN,18.9,-2.8,9.9,31
100,USC00110338,1903,6,TMIN,18.3,3.3,10.6,30
101,USC00110338,1903,7,TMIN,22.2,10.0,15.9,31
102,USC00110338,1903,8,TMIN,21.1,8.3,14.7,31
103,USC00110338,1903,9,TMIN,18.9,0.6,10.3,30
104,USC00110338,1903,10,TMIN,16.1,-5.6,4.4,31
105,USC00110338,1903,11,TMIN,9.4,-15.0,-3.3,30
106,USC00110338,1903,12,TMIN,0.6,-28.9,-13.6,31
107,USC00110338,1904,1,TMIN,-0.6,-28.9,-14.2,31
108,USC00110338,1904,2,TMIN,3.3,-24.4,-13.7,29
109,USC00110338,1904,3,TMIN,6.1,-11.1,-2.6,31
110,USC00110338,1904,4,TMIN,8.9,-6.7,-0.1,30
111,USC00110338,1904,5,TMIN,15.6,-1.1,8.2,31
112,USC00110338,1904,6,TMIN,22.2,5.0,12.4,30
113,USC00110338,1904,7,TMIN,21.1,6.1,14.7,31
114,USC00110338,1904,8,TMIN,18.9,6.7,12.4,31
115,USC00110338,1904,9,TMIN,18.9,1.7,11.4,30
116,USC00110338,1904,10,TMIN,17.2,-3.9,4.8,31
117,USC00110338,1904,11,TMIN,5.0,-8.9,-1.5,30
118,USC00110338,1904,12,TMIN,2.8,-20.6,-8.8,31
119,USC00110338,1905,1,TMIN,1.7,-23.3,-12.6,31
120,USC00110338,1905,2,TMIN,0.6,-31.7,-14.3,28
121,USC00110338,1905,3,TMIN,11.1,-10.6,-0.7,31
122,USC00110338,1905,4,TMIN,12.2,-3.9,2.5,30
123,USC00110338,1905,5,TMIN,17.8,1.1,8.6,31
124,USC00110338,1905,6,TMIN,20.0,6.1,13.2,30
125,USC00110338,1905,7,TMIN,22.2,8.9,15.3,31
126,USC00110338,1905,8,TMIN,20.6,11.1,15.8,31
127,USC00110338,1905,9,TMIN,17.8,5.0,11.8,30
128,USC00110338,1905,10,TMIN,13.9,-5.0,3.5,31
129,USC00110338,1905,11,TMIN,2.8,-12.8,-2.5,30
130,USC00110338,1905,12,TMIN,1.1,-18.3,-6.4,31
131,USC00110338,1906,1,TMIN,1.1,-15.6,-6.1,31
132,USC00110338,1906,2,TMIN,3.3,-17.8,-8.6,28
133,USC00110338,1906,3,TMIN,2.8,-15.6,-5.5,31
134,USC00110338,1906,4,TMIN,11.7,-4.4,3.5,30
135,USC00110338,1906,5,TMIN,16.7,-1.1,8.5,31
136,USC00110338,1906,6,TMIN,21.1,6.1,12.8,30
137,USC00110338,1906,7,TMIN,18.9,9.4,14.1,31
138,USC00110338,1906,8,TMIN,21.1,7.8,17.0,31
139,USC00110338,1906,9,TMIN,18.3,7.2,12.8,30
140,USC00110338,1906,10,TMIN,14.4,-4.4,5.6,31
141,USC00110338,1906,11,TMIN,8.9,-7.2,-1.1,30
142,USC00110338,1906,12,TMIN,1.7,-15.0,-5.7,31
143,USC00110338,1907,1,TMIN,0.0,-20.6,-8.9,31
144,USC00110338,1907,2,TMIN,0.6,-25.6,-9.3,28
145,USC00110338,1907,3,TMIN,13.9,-6.7,0.3,31
146,USC00110338,1907,4,TMIN,7.8,-7.8,-0.9,30
147,USC00110338,1907,5,TMIN,17.2,-2.8,4.9,31
148,USC00110338,1907,6,TMIN,19.4,6.1,12.4,30
149,USC00110338,1907,7,TMIN,21.7,4.4,16.3,31
150,USC00110338,1907,8,TMIN,18.3,7.2,14.2,31
151,USC00110338,1907,9,TMIN,18.9,0.6,11.0,30
152,USC00110338,1907,10,TMIN,16.7,-3.9,3.0,31
153,USC00110338,1907,11,TMIN,7.2,-10.6,-3.1,30
154,USC00110338,1907,12,TMIN,3.9,-12.8,-5.5,31
155,USC00110338,1908,1,TMIN,1.1,-20.6,-8.6,31
156,USC00110338,1908,2,TMIN,2.8,-23.3,-8.6,29
157,USC00110338,1908,3,TMIN,4.4,-7.8,-1.3,31
158,USC00110338,1908,4,TMIN,13.9,-5.0,3.5,30
159,USC00110338,1908,5,TMIN,18.3,-2.2,9.7,31
160,USC00110338,1908,6,TMIN,22.8,2.8,13.5,30
161,USC00110338,1908,7,TMIN,21.7,8.3,16.2,31
162,USC00110338,1908,8,TMIN,20.0,6.7,13.7,31
163,USC00110338,1908,9,TMIN,18.3,-1.1,11.9,30
164,USC00110338,1908,10,TMIN,13.3,-6.7,4.4,31
165,USC00110338,1908,11,TMIN,11.1,-11.1,-2.2,30
166,USC00110338,1908,12,TMIN,1.7,-20.6,-7.5,31
167,USC00110338,1909,1,TMIN,9.4,-24.4,-7.8,31
168,USC00110338,1909,2,TMIN,5.0,-16.1,-6.0,28
169,USC00110338,1909,3,TMIN,1.7,-13.3,-2.9,31
170,USC00110338,1909,4,TMIN,10.6,-7.2,2.0,30
171,USC00110338,1909,5,TMIN,15.6,-1.7,7.2,31
172,USC00110338,1909,6,TMIN,20.0,3.9,13.4,30
173,USC00110338,1909,7,TMIN,22.2,7.2,14.8,31
174,USC00110338,1909,8,TMIN,21.7,6.1,16.4,31
175,USC00110338,1909,9,TMIN,19.4,1.1,10.1,30
176,USC00110338,1909,10,TMIN,12.2,-6.7,1.9,31
177,USC00110338,1909,11,TMIN,16.7,-6.7,2.8,30
178,USC00110338,1909,12,TMIN,7.2,-26.7,-12.4,31
179,USC00110338,1910,1,TMIN,-0.6,-27.2,-10.2,31
180,USC00110338,1910,2,TMIN,0.6,-23.9,-11.0,28
181,USC00110338,1910,3,TMIN,12.8,-8.9,1.0,31
182,USC00110338,1910,4,TMIN,13.9,-8.3,3.2,30
183,USC00110338,1910,5,TMIN,14.4,-1.7,5.9,31
184,USC00110338,1910,6,TMIN,18.9,2.8,11.9,30
185,USC00110338,1910,7,TMIN,23.3,10.6,16.5,31
186,USC00110338,1910,8,TMIN,22.8,6.1,15.0,31
187,USC00110338,1910,9,TMIN,20.0,2.8,11.2,30
188,USC00110338,1910,10,TMIN,16.7,-8.3,5.7,31
189,USC00110338,1910,11,TMIN,3.9,-8.3,-4.0,30
190,USC00110338,1910,12,TMIN,-1.1,-20.0,-9.6,31
191,USC00110338,1911,1,TMIN,2.8,-20.6,-8.7,31
192,USC00110338,1911,2,TMIN,2.8,-18.9,-5.2,28
